pop,gdppc,year,ln_pop,ln_gdppc,eur_pop,eur_gdp,ln_eur_pop,ln_eur_gdppc,ln_eur_pop_ind,ln_eur_gdppc_ind,n,pop_bil
230,450,0,5.4380794,6.1092477,18,11,2.8903718,-.49247649,-.000028200531,.00002350688,,.23
268,450,1000,5.5909872,6.1092477,19,8,2.9444389,-.86499745,.054038934,-.37249744,.00015290784,.26800001
437,565,1500,6.0799332,6.3368258,48,38,3.871201,-.23361485,.98080105,.25888515,.00097789196,.43700001
555,593,1600,6.3189683,6.3851943,62,56,4.1271343,-.10178269,1.2367343,.3907173,.0023903514,.55500001
603,615,1700,6.401917,6.4216223,69,70,4.2341065,.014388737,1.3437065,.50688875,.00082948687,.60299999
1041,667,1820,6.947937,6.50279,114,141,4.7361984,.21256144,1.8457984,.70506144,.0045501669,1.041
1270,867,1870,7.1467724,6.765039,162,337,5.0875964,.73248661,2.1971965,1.2249866,.0039767073,1.27
1791,1510,1913,7.4905295,7.3198647,227,840,5.4249501,1.3084519,2.5345502,1.8009518,.0079943528,1.791
2524,2114,1950,7.8336,7.6563373,256,1286,5.5451775,1.6141144,2.6547775,2.1066144,.0092721758,2.5239999
3913,4104,1973,8.2720594,8.3197174,301,3664,5.7071104,2.4992003,2.8167105,2.9917004,.019063452,3.9130001
6900,6000,2010,8.8392763,8.6995144,333,7402,5.8081427,3.1013629,2.9177427,3.593863,.015330186,6.9000001
