year,cbr,tfr
1909,29.200001,
1910,29.200001,
1911,29.1,
1912,29,
1913,28.799999,
1914,29.299999,
1915,28.9,
1916,28.5,
1917,27.9,
1918,27.6,
1919,25.299999,
1920,26.9,
1921,27.299999,
1922,25.4,
1923,25.200001,
1924,25.1,
1925,24.1,
1926,23.1,
1927,22.700001,
1928,21.5,
1929,20.5,
1930,20.6,
1931,19.5,
1932,18.700001,
1933,17.6,
1934,18.1,
1935,17.9,
1936,17.6,
1937,17.9,
1938,18.4,
1939,18,
1940,18.6,
1941,19.5,
1942,21.5,
1943,22.1,
1944,20.5,
1945,19.700001,
1946,23.6,
1947,26.1,
1948,24,
1949,23.6,
1950,23,3.052
1951,23.9,3.1300001
1952,24.1,3.2720001
1953,24,3.3889999
1954,24.200001,3.4790001
1955,23.799999,3.5439999
1956,24,3.582
1957,24,3.595
1958,23.299999,3.5829999
1959,22.9,3.5450001
1960,22.700001,3.483
1961,22.200001,3.3989999
1962,21.4,3.2939999
1963,20.700001,3.1730001
1964,20,3.0409999
1965,18.299999,2.902
1966,17.4,2.7620001
1967,16.799999,2.6229999
1968,16.6,2.49
1969,16.9,2.3659999
1970,17.4,2.253
1971,16.200001,2.1530001
1972,14.6,2.063
1973,13.9,1.984
1974,14,1.915
1975,13.6,1.858
1976,13.8,1.814
1977,14.1,1.783
1978,14,1.7640001
1979,14.5,1.757
1980,14.9,1.7589999
1981,14.8,1.7690001
1982,14.9,1.786
1983,14.6,1.806
1984,14.8,1.829
1985,15,1.853
1986,14.8,1.878
1987,14.9,1.904
1988,15,1.932
1989,15.4,1.9579999
1990,15.8,1.983
1991,15.4,2.0020001
1992,15,2.0150001
1993,14.7,2.0209999
1994,15.2,2.0220001
1995,14.8,2.0190001
1996,14.7,2.013
1997,14.5,2.0090001
1998,14.6,2.0079999
1999,14.5,2.0109999
2000,14.4,2.017
2001,14.1,2.027
2002,14,2.039
2003,14.1,2.05
2004,14,2.0580001
2005,14,2.062
2006,14.285505,2.0569999
2007,14.312072,2.0439999
2008,13.95547,2.023
2009,,1.995
2010,,1.9630001
2011,,1.932
2012,,1.905
2013,,1.8839999
2014,,1.872
2015,,1.868
